time_iso8601,forks_cumulative
2019-10-31 00:00:00+00:00,2
2020-10-27 00:00:00+00:00,3
2021-01-30 00:00:00+00:00,4
2021-06-10 00:00:00+00:00,6
2021-10-06 00:00:00+00:00,7
2021-10-31 00:00:00+00:00,8
2021-11-18 00:00:00+00:00,9
2022-01-10 00:00:00+00:00,10
2022-05-02 00:00:00+00:00,11
2023-01-31 00:00:00+00:00,12
2023-03-24 00:00:00+00:00,13
2023-04-04 00:00:00+00:00,14
2023-04-23 00:00:00+00:00,15
2023-06-21 00:00:00+00:00,16
2023-06-28 00:00:00+00:00,17
2023-08-10 00:00:00+00:00,18
2023-11-16 00:00:00+00:00,19
2024-07-16 00:00:00+00:00,20
2025-03-01 00:00:00+00:00,21
2025-05-03 00:00:00+00:00,22
